CheckingStatus,LoanDuration,CreditHistory,LoanPurpose,LoanAmount,ExistingSavings,EmploymentDuration,InstallmentPercent,Sex,OthersOnLoan,CurrentResidenceDuration,OwnsProperty,Age,InstallmentPlans,Housing,ExistingCreditsCount,Job,Dependents,Telephone,ForeignWorker,Risk
less_0,30,credits_paid_to_date,furniture,2975,less_100,4_to_7,2,female,none,3,savings_insurance,36,stores,own,2,skilled,1,none,yes,No Risk
greater_200,13,prior_payments_delayed,car_new,5692,less_100,less_1,2,female,none,3,savings_insurance,40,none,rent,2,skilled,1,none,yes,No Risk
greater_200,28,outstanding_credit,furniture,1222,500_to_1000,less_1,3,male,none,3,real_estate,25,none,own,1,skilled,1,none,yes,No Risk
no_checking,28,prior_payments_delayed,car_used,5592,500_to_1000,1_to_4,4,male,none,3,car_other,45,none,own,1,skilled,1,none,yes,Risk
less_0,12,all_credits_paid_back,car_used,916,less_100,less_1,2,female,co-applicant,2,savings_insurance,38,none,own,1,skilled,1,none,yes,No Risk
greater_200,24,credits_paid_to_date,car_used,4758,100_to_500,4_to_7,3,male,none,3,savings_insurance,38,none,own,1,skilled,1,yes,yes,No Risk
less_0,11,all_credits_paid_back,vacation,598,less_100,1_to_4,2,female,co-applicant,2,savings_insurance,34,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,28,credits_paid_to_date,furniture,3794,greater_1000,greater_7,4,female,none,4,car_other,43,none,free,3,skilled,2,yes,yes,Risk
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,18,credits_paid_to_date,furniture,2273,less_100,1_to_4,3,male,co-applicant,2,car_other,35,none,free,1,skilled,1,none,yes,No Risk
less_0,15,prior_payments_delayed,furniture,2746,500_to_1000,greater_7,3,male,none,1,car_other,41,stores,own,2,skilled,1,none,yes,No Risk
0_to_200,20,prior_payments_delayed,radio_tv,3787,greater_1000,1_to_4,3,male,none,4,car_other,34,none,rent,1,skilled,1,yes,yes,Risk
less_0,18,credits_paid_to_date,furniture,1149,less_100,less_1,3,female,co-applicant,2,real_estate,44,stores,own,2,unskilled,1,yes,yes,No Risk
less_0,16,credits_paid_to_date,furniture,250,less_100,unemployed,2,male,none,3,savings_insurance,26,none,rent,1,skilled,1,none,yes,No Risk
no_checking,50,outstanding_credit,repairs,9426,greater_1000,4_to_7,5,male,co-applicant,5,car_other,42,none,free,3,management_self-employed,2,yes,yes,Risk
no_checking,33,prior_payments_delayed,appliances,6805,100_to_500,4_to_7,3,female,none,4,savings_insurance,47,none,own,2,skilled,1,none,yes,Risk
no_checking,31,prior_payments_delayed,appliances,4570,500_to_1000,less_1,3,female,none,3,real_estate,38,stores,rent,1,unskilled,1,none,yes,No Risk
0_to_200,14,no_credits,car_new,3837,less_100,1_to_4,3,male,co-applicant,2,savings_insurance,29,none,own,1,skilled,1,none,yes,No Risk
no_checking,29,credits_paid_to_date,furniture,4637,500_to_1000,1_to_4,4,male,guarantor,5,car_other,48,stores,free,2,unskilled,1,yes,yes,No Risk
no_checking,24,prior_payments_delayed,furniture,5859,100_to_500,4_to_7,4,female,none,4,savings_insurance,49,none,own,2,skilled,1,yes,yes,No Risk
no_checking,33,credits_paid_to_date,furniture,6261,100_to_500,4_to_7,4,male,guarantor,4,car_other,51,none,free,2,skilled,1,yes,yes,No Risk
no_checking,32,prior_payments_delayed,car_used,6250,unknown,4_to_7,4,male,none,4,car_other,46,none,own,2,skilled,1,yes,yes,No Risk
no_checking,27,prior_payments_delayed,appliances,4384,100_to_500,1_to_4,4,female,none,2,real_estate,38,none,free,2,skilled,1,yes,yes,No Risk
no_checking,37,prior_payments_delayed,repairs,7862,unknown,4_to_7,3,male,co-applicant,4,unknown,43,none,free,3,skilled,2,yes,yes,Risk
less_0,26,credits_paid_to_date,radio_tv,2733,less_100,1_to_4,3,male,none,1,car_other,25,none,own,1,skilled,1,none,yes,No Risk
no_checking,26,prior_payments_delayed,radio_tv,1710,100_to_500,4_to_7,3,female,none,3,real_estate,43,bank,own,1,unemployed,1,none,yes,No Risk
less_0,25,credits_paid_to_date,furniture,699,less_100,1_to_4,2,male,none,3,savings_insurance,31,none,rent,1,skilled,1,yes,yes,Risk
no_checking,29,all_credits_paid_back,radio_tv,3860,less_100,4_to_7,3,female,guarantor,3,car_other,49,none,free,1,unskilled,1,none,yes,Risk
no_checking,28,outstanding_credit,car_used,2216,greater_1000,greater_7,4,male,none,3,savings_insurance,29,none,own,2,skilled,1,none,yes,No Risk
no_checking,25,prior_payments_delayed,car_used,4317,100_to_500,4_to_7,4,male,none,4,car_other,39,none,own,1,management_self-employed,1,none,no,No Risk
less_0,10,credits_paid_to_date,furniture,2005,100_to_500,1_to_4,3,male,none,3,car_other,34,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,28,credits_paid_to_date,car_used,250,greater_1000,less_1,2,male,none,2,real_estate,32,none,own,1,skilled,1,none,yes,No Risk
no_checking,28,outstanding_credit,furniture,6219,greater_1000,4_to_7,5,male,none,5,unknown,52,none,free,2,skilled,2,yes,yes,Risk
no_checking,48,outstanding_credit,other,8310,500_to_1000,4_to_7,5,male,co-applicant,4,unknown,36,none,free,2,skilled,2,yes,yes,Risk
0_to_200,17,credits_paid_to_date,car_used,1718,less_100,1_to_4,1,female,none,3,real_estate,27,stores,own,1,skilled,1,none,yes,No Risk
less_0,11,all_credits_paid_back,furniture,250,less_100,less_1,1,male,none,2,real_estate,40,stores,own,1,skilled,1,yes,yes,No Risk
no_checking,28,outstanding_credit,appliances,4868,greater_1000,4_to_7,4,female,co-applicant,4,savings_insurance,40,none,own,1,skilled,1,none,yes,Risk
0_to_200,14,credits_paid_to_date,vacation,724,less_100,4_to_7,3,male,co-applicant,2,savings_insurance,46,stores,own,1,unskilled,1,yes,yes,No Risk
0_to_200,42,outstanding_credit,appliances,3709,500_to_1000,greater_7,4,female,none,4,unknown,51,stores,own,1,unskilled,1,none,yes,Risk
no_checking,24,prior_payments_delayed,car_used,1322,100_to_500,less_1,2,male,none,3,car_other,26,bank,own,2,unskilled,1,none,yes,No Risk
0_to_200,18,all_credits_paid_back,vacation,1849,100_to_500,1_to_4,2,female,none,1,car_other,19,stores,rent,1,unskilled,1,none,yes,No Risk
0_to_200,13,prior_payments_delayed,car_used,2279,less_100,4_to_7,2,female,none,2,savings_insurance,46,bank,own,2,unemployed,1,yes,yes,Risk
0_to_200,17,credits_paid_to_date,car_used,250,500_to_1000,1_to_4,2,male,none,1,savings_insurance,28,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,28,credits_paid_to_date,car_used,3810,less_100,1_to_4,3,male,none,4,savings_insurance,34,none,rent,2,management_self-employed,2,none,yes,No Risk
less_0,6,no_credits,car_new,777,100_to_500,1_to_4,2,female,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,43,prior_payments_delayed,appliances,7393,500_to_1000,greater_7,5,male,co-applicant,4,savings_insurance,37,none,free,2,skilled,1,none,yes,No Risk
greater_200,20,outstanding_credit,radio_tv,3917,100_to_500,1_to_4,4,female,none,2,savings_insurance,31,bank,rent,1,unskilled,1,yes,yes,Risk
less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,Risk
no_checking,26,prior_payments_delayed,radio_tv,4660,100_to_500,1_to_4,4,male,none,3,car_other,40,none,free,2,management_self-employed,1,yes,yes,No Risk
less_0,12,all_credits_paid_back,vacation,250,less_100,unemployed,2,male,none,2,real_estate,22,bank,own,1,unskilled,1,none,yes,No Risk
no_checking,27,prior_payments_delayed,appliances,4489,100_to_500,1_to_4,3,female,none,4,savings_insurance,32,none,own,2,skilled,2,yes,yes,No Risk
0_to_200,33,outstanding_credit,appliances,4666,unknown,1_to_4,3,male,none,3,unknown,36,stores,own,2,skilled,1,none,yes,Risk
0_to_200,4,prior_payments_delayed,retraining,302,100_to_500,1_to_4,2,female,none,1,savings_insurance,20,none,own,1,skilled,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,radio_tv,7663,100_to_500,1_to_4,3,female,none,4,savings_insurance,36,none,own,2,skilled,1,none,yes,Risk
greater_200,22,credits_paid_to_date,car_new,2830,100_to_500,1_to_4,3,female,none,4,real_estate,44,none,own,2,skilled,1,yes,yes,No Risk
less_0,25,credits_paid_to_date,retraining,4448,500_to_1000,4_to_7,4,male,none,3,car_other,39,none,own,2,skilled,1,none,no,No Risk
greater_200,22,credits_paid_to_date,furniture,4109,less_100,4_to_7,3,male,none,4,unknown,45,none,own,1,skilled,1,none,yes,No Risk
no_checking,20,prior_payments_delayed,appliances,2827,unknown,4_to_7,3,male,co-applicant,3,savings_insurance,31,none,own,1,skilled,1,none,yes,No Risk
no_checking,17,credits_paid_to_date,retraining,5542,greater_1000,less_1,3,male,none,3,savings_insurance,29,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,24,outstanding_credit,car_used,2055,greater_1000,greater_7,4,female,none,4,savings_insurance,35,none,free,2,skilled,1,yes,yes,Risk
less_0,20,credits_paid_to_date,car_used,2218,less_100,1_to_4,3,male,none,2,savings_insurance,21,bank,rent,1,unemployed,1,none,yes,No Risk
0_to_200,19,credits_paid_to_date,car_used,1897,100_to_500,unemployed,1,male,none,3,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,28,prior_payments_delayed,appliances,6272,500_to_1000,greater_7,4,male,co-applicant,4,car_other,42,stores,own,2,unskilled,2,yes,yes,Risk
less_0,14,prior_payments_delayed,radio_tv,2243,less_100,1_to_4,2,male,none,2,car_other,46,none,own,2,skilled,2,yes,yes,Risk
no_checking,31,prior_payments_delayed,car_used,4422,unknown,greater_7,5,male,none,4,savings_insurance,43,none,own,2,skilled,1,none,yes,No Risk
no_checking,11,outstanding_credit,furniture,3203,100_to_500,1_to_4,2,male,none,4,car_other,43,stores,own,1,unskilled,2,yes,yes,No Risk
less_0,12,all_credits_paid_back,vacation,1742,less_100,1_to_4,1,female,none,1,real_estate,25,bank,rent,1,unemployed,1,none,yes,No Risk
0_to_200,11,prior_payments_delayed,car_used,1965,greater_1000,greater_7,3,male,none,2,savings_insurance,53,none,own,2,skilled,2,yes,yes,Risk
no_checking,30,outstanding_credit,repairs,8382,500_to_1000,greater_7,5,male,co-applicant,4,car_other,49,none,free,2,management_self-employed,2,yes,yes,Risk
no_checking,26,prior_payments_delayed,furniture,4324,100_to_500,1_to_4,3,female,none,4,savings_insurance,50,none,own,1,skilled,1,yes,yes,No Risk
less_0,4,all_credits_paid_back,car_used,250,less_100,less_1,1,male,none,1,real_estate,37,stores,own,1,skilled,1,none,yes,No Risk
0_to_200,21,credits_paid_to_date,furniture,2902,less_100,1_to_4,3,male,none,2,real_estate,29,none,own,2,skilled,1,none,yes,No Risk
0_to_200,25,outstanding_credit,car_used,4887,greater_1000,greater_7,4,female,none,4,unknown,55,none,own,2,skilled,2,yes,yes,Risk
no_checking,25,prior_payments_delayed,radio_tv,4715,100_to_500,1_to_4,4,male,none,3,savings_insurance,38,none,own,1,management_self-employed,2,none,no,No Risk
no_checking,20,outstanding_credit,furniture,3893,500_to_1000,4_to_7,4,male,none,3,unknown,42,none,own,2,skilled,1,yes,yes,Risk
no_checking,24,prior_payments_delayed,education,4385,500_to_1000,1_to_4,4,male,none,3,car_other,42,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,12,prior_payments_delayed,car_used,2794,greater_1000,1_to_4,3,male,none,3,savings_insurance,37,none,own,2,management_self-employed,2,yes,yes,No Risk
no_checking,8,all_credits_paid_back,furniture,1726,less_100,less_1,3,female,none,2,savings_insurance,26,stores,own,1,skilled,1,none,yes,No Risk
less_0,4,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,13,credits_paid_to_date,car_used,2256,100_to_500,less_1,2,male,none,2,savings_insurance,36,bank,rent,1,unskilled,1,none,yes,No Risk
0_to_200,39,outstanding_credit,appliances,3010,unknown,4_to_7,3,male,none,2,car_other,28,none,own,2,skilled,2,yes,yes,No Risk
no_checking,29,prior_payments_delayed,radio_tv,3573,greater_1000,greater_7,3,male,none,4,car_other,58,bank,own,2,unemployed,2,yes,yes,Risk
less_0,13,all_credits_paid_back,car_new,250,less_100,less_1,1,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,32,outstanding_credit,vacation,2742,500_to_1000,greater_7,3,female,none,2,car_other,30,none,own,2,skilled,1,none,yes,Risk
less_0,4,no_credits,car_new,250,less_100,less_1,1,female,none,1,real_estate,23,stores,rent,1,unskilled,1,none,yes,No Risk
0_to_200,8,prior_payments_delayed,car_used,3473,500_to_1000,less_1,3,male,none,2,car_other,35,none,own,2,skilled,1,yes,yes,No Risk
less_0,18,prior_payments_delayed,radio_tv,2618,500_to_1000,1_to_4,2,male,none,1,savings_insurance,22,bank,rent,1,unskilled,1,yes,yes,No Risk
greater_200,33,prior_payments_delayed,radio_tv,4758,100_to_500,4_to_7,4,male,none,4,car_other,32,none,own,2,skilled,1,none,yes,Risk
0_to_200,17,credits_paid_to_date,car_new,3863,less_100,1_to_4,2,female,none,1,savings_insurance,39,bank,own,2,unemployed,1,none,yes,No Risk
no_checking,11,credits_paid_to_date,car_used,2956,greater_1000,4_to_7,4,male,none,4,savings_insurance,38,none,own,1,management_self-employed,1,yes,yes,No Risk
0_to_200,15,prior_payments_delayed,retraining,1186,less_100,1_to_4,3,male,none,2,real_estate,19,none,own,1,skilled,1,yes,yes,No Risk
0_to_200,9,all_credits_paid_back,furniture,250,less_100,1_to_4,2,female,none,2,real_estate,37,none,own,1,skilled,1,none,yes,No Risk
no_checking,35,prior_payments_delayed,radio_tv,4945,500_to_1000,4_to_7,3,female,none,3,unknown,41,none,own,2,skilled,2,none,yes,Risk
0_to_200,4,no_credits,repairs,250,less_100,unemployed,1,male,none,2,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,30,prior_payments_delayed,radio_tv,4615,greater_1000,4_to_7,4,female,none,5,unknown,39,stores,own,2,unskilled,2,yes,yes,Risk
no_checking,28,outstanding_credit,appliances,6505,500_to_1000,4_to_7,4,male,guarantor,3,savings_insurance,55,none,free,2,management_self-employed,1,yes,yes,No Risk
no_checking,37,outstanding_credit,other,5799,500_to_1000,greater_7,5,female,none,4,car_other,42,none,free,2,management_self-employed,2,yes,yes,Risk
no_checking,23,all_credits_paid_back,retraining,1739,less_100,4_to_7,2,male,none,3,real_estate,38,none,own,1,skilled,2,none,yes,No Risk
no_checking,8,credits_paid_to_date,furniture,3733,less_100,4_to_7,3,male,none,2,real_estate,41,none,own,1,skilled,1,none,yes,No Risk
no_checking,23,prior_payments_delayed,furniture,3786,greater_1000,4_to_7,4,male,guarantor,5,car_other,38,none,own,1,skilled,1,yes,yes,No Risk
less_0,9,prior_payments_delayed,furniture,292,less_100,less_1,2,female,none,3,car_other,51,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,female,none,2,real_estate,22,none,own,1,skilled,1,none,yes,No Risk
no_checking,23,outstanding_credit,car_used,1976,unknown,4_to_7,4,male,none,3,savings_insurance,37,stores,own,2,unskilled,2,yes,yes,No Risk
0_to_200,8,all_credits_paid_back,furniture,2141,less_100,less_1,2,female,none,1,car_other,22,none,rent,1,skilled,1,none,yes,No Risk
less_0,13,credits_paid_to_date,car_used,250,500_to_1000,unemployed,1,male,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,20,prior_payments_delayed,furniture,3713,100_to_500,greater_7,3,male,none,2,car_other,48,none,free,2,skilled,2,yes,yes,No Risk
no_checking,28,outstanding_credit,radio_tv,7546,500_to_1000,4_to_7,4,male,none,4,car_other,49,none,free,2,management_self-employed,1,yes,yes,No Risk
less_0,4,no_credits,car_new,737,less_100,less_1,2,male,none,2,real_estate,19,stores,rent,1,unskilled,1,none,yes,No Risk
greater_200,12,credits_paid_to_date,car_new,250,less_100,4_to_7,3,male,none,2,real_estate,19,none,own,1,skilled,1,yes,yes,Risk
no_checking,9,prior_payments_delayed,car_new,4316,100_to_500,less_1,3,female,none,3,savings_insurance,33,none,own,1,management_self-employed,1,none,yes,Risk
less_0,4,no_credits,repairs,250,less_100,unemployed,1,male,none,1,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,25,outstanding_credit,appliances,4075,unknown,4_to_7,3,male,none,4,car_other,36,stores,own,1,unskilled,1,none,yes,No Risk
0_to_200,11,credits_paid_to_date,car_new,2306,less_100,less_1,2,female,none,1,savings_insurance,25,none,own,1,skilled,1,none,yes,No Risk
0_to_200,19,no_credits,furniture,250,less_100,less_1,1,female,none,3,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,33,outstanding_credit,appliances,5865,greater_1000,greater_7,5,male,co-applicant,5,car_other,47,none,free,3,skilled,2,yes,yes,Risk
0_to_200,4,all_credits_paid_back,car_used,250,less_100,less_1,1,male,none,2,real_estate,24,stores,rent,1,skilled,1,none,yes,No Risk
0_to_200,15,prior_payments_delayed,car_used,876,greater_1000,greater_7,3,male,co-applicant,2,savings_insurance,38,stores,own,1,skilled,1,none,yes,No Risk
less_0,16,credits_paid_to_date,repairs,1435,500_to_1000,1_to_4,1,male,none,2,car_other,25,stores,rent,2,skilled,1,none,yes,Risk
no_checking,36,outstanding_credit,radio_tv,8452,500_to_1000,greater_7,5,male,co-applicant,5,car_other,50,none,free,2,management_self-employed,1,yes,yes,Risk
less_0,11,all_credits_paid_back,vacation,2541,100_to_500,4_to_7,3,male,none,3,real_estate,37,none,own,1,skilled,1,none,yes,No Risk
0_to_200,22,outstanding_credit,car_used,1993,100_to_500,1_to_4,3,male,none,2,savings_insurance,40,none,own,2,skilled,1,none,yes,No Risk
no_checking,27,outstanding_credit,radio_tv,8284,500_to_1000,4_to_7,5,male,co-applicant,4,unknown,54,none,free,2,skilled,2,yes,yes,Risk
less_0,4,all_credits_paid_back,repairs,1910,less_100,unemployed,1,female,none,1,real_estate,19,none,rent,1,management_self-employed,1,none,yes,No Risk
0_to_200,4,all_credits_paid_back,car_new,250,less_100,1_to_4,2,male,none,1,real_estate,25,none,own,1,skilled,1,none,yes,No Risk
less_0,16,credits_paid_to_date,car_new,250,less_100,4_to_7,3,male,none,2,car_other,29,none,own,2,skilled,1,none,yes,No Risk
no_checking,36,prior_payments_delayed,vacation,6173,500_to_1000,greater_7,5,male,none,4,unknown,48,none,free,2,skilled,1,yes,yes,Risk
less_0,16,credits_paid_to_date,car_new,4211,100_to_500,1_to_4,3,male,none,3,car_other,28,none,own,2,skilled,1,none,yes,No Risk
no_checking,28,prior_payments_delayed,car_used,6860,100_to_500,1_to_4,4,male,none,3,savings_insurance,40,none,own,2,management_self-employed,1,yes,yes,No Risk
no_checking,20,outstanding_credit,radio_tv,7217,greater_1000,1_to_4,4,male,none,5,savings_insurance,37,none,own,2,management_self-employed,2,yes,yes,No Risk
no_checking,27,outstanding_credit,furniture,3310,500_to_1000,greater_7,5,male,none,3,car_other,40,none,free,1,skilled,1,yes,yes,No Risk
no_checking,15,outstanding_credit,radio_tv,7200,100_to_500,greater_7,4,male,none,5,car_other,42,none,own,2,skilled,1,yes,yes,No Risk
no_checking,26,prior_payments_delayed,appliances,2618,100_to_500,4_to_7,3,male,none,4,car_other,25,none,own,1,management_self-employed,1,yes,yes,Risk
no_checking,40,outstanding_credit,repairs,7712,greater_1000,greater_7,4,male,guarantor,5,car_other,51,none,free,2,skilled,1,yes,yes,Risk
no_checking,30,prior_payments_delayed,business,5899,100_to_500,4_to_7,4,male,none,4,unknown,53,none,free,2,management_self-employed,2,yes,yes,No Risk
no_checking,30,prior_payments_delayed,business,3712,500_to_1000,4_to_7,3,male,none,4,savings_insurance,41,none,free,2,management_self-employed,1,yes,yes,No Risk
0_to_200,21,all_credits_paid_back,car_new,1092,less_100,1_to_4,2,female,none,1,real_estate,26,stores,own,2,skilled,1,none,yes,No Risk
no_checking,9,credits_paid_to_date,car_used,5233,less_100,1_to_4,3,male,none,2,real_estate,34,stores,own,2,unskilled,1,yes,yes,No Risk
no_checking,61,outstanding_credit,education,7646,unknown,greater_7,6,male,co-applicant,3,unknown,49,none,free,2,skilled,2,yes,yes,Risk
less_0,4,credits_paid_to_date,car_new,788,less_100,less_1,1,female,none,2,car_other,40,none,own,1,skilled,1,yes,yes,No Risk
less_0,22,credits_paid_to_date,car_new,3410,less_100,less_1,2,female,none,2,real_estate,22,bank,rent,1,unemployed,1,none,yes,No Risk
less_0,7,prior_payments_delayed,furniture,2574,500_to_1000,4_to_7,2,female,none,1,unknown,38,stores,own,2,unskilled,1,none,yes,Risk
no_checking,32,prior_payments_delayed,appliances,4842,500_to_1000,greater_7,5,female,none,3,car_other,43,none,free,2,skilled,1,none,yes,Risk
less_0,4,all_credits_paid_back,car_new,250,less_100,1_to_4,1,male,none,1,real_estate,19,stores,rent,1,skilled,1,none,yes,No Risk
0_to_200,18,credits_paid_to_date,car_used,1200,less_100,less_1,2,female,none,2,real_estate,19,none,own,1,skilled,1,none,yes,No Risk
no_checking,8,prior_payments_delayed,car_used,1638,100_to_500,less_1,3,male,none,4,real_estate,38,none,rent,1,management_self-employed,1,yes,yes,No Risk
no_checking,37,outstanding_credit,other,7916,unknown,greater_7,5,female,none,5,unknown,53,none,own,3,skilled,2,yes,yes,Risk
0_to_200,13,credits_paid_to_date,car_new,2344,100_to_500,1_to_4,3,male,none,2,savings_insurance,40,none,own,2,skilled,1,none,yes,No Risk
less_0,12,credits_paid_to_date,furniture,620,500_to_1000,less_1,2,female,none,1,car_other,30,stores,rent,1,skilled,1,none,yes,No Risk
0_to_200,24,prior_payments_delayed,retraining,2410,100_to_500,4_to_7,3,female,none,1,car_other,37,stores,own,1,unskilled,1,none,yes,No Risk
no_checking,16,credits_paid_to_date,vacation,4898,less_100,4_to_7,3,male,none,2,car_other,45,none,own,2,skilled,1,none,yes,Risk
0_to_200,4,all_credits_paid_back,car_new,250,less_100,less_1,2,male,none,2,savings_insurance,19,none,rent,1,skilled,1,none,yes,No Risk
0_to_200,5,prior_payments_delayed,education,250,less_100,less_1,1,female,none,2,car_other,41,stores,rent,1,skilled,1,none,yes,No Risk
no_checking,38,outstanding_credit,radio_tv,3070,greater_1000,4_to_7,4,male,none,5,savings_insurance,31,stores,own,1,unskilled,2,yes,yes,No Risk
0_to_200,15,credits_paid_to_date,car_used,2853,less_100,1_to_4,3,female,none,1,savings_insurance,37,none,own,2,skilled,1,none,yes,No Risk
0_to_200,15,no_credits,car_used,3626,less_100,unemployed,2,male,none,1,savings_insurance,22,none,own,1,skilled,1,none,yes,No Risk
greater_200,22,credits_paid_to_date,radio_tv,6007,less_100,less_1,3,male,none,4,unknown,46,none,own,1,management_self-employed,1,yes,yes,No Risk
less_0,4,all_credits_paid_back,car_new,250,less_100,unemployed,1,male,none,2,real_estate,19,none,rent,1,skilled,1,none,yes,No Risk
no_checking,36,prior_payments_delayed,furniture,8232,unknown,4_to_7,5,female,none,5,savings_insurance,49,none,own,2,skilled,2,yes,yes,No Risk
0_to_200,5,all_credits_paid_back,car_new,250,less_100,unemployed,2,male,none,3,real_estate,31,none,own,1,skilled,1,none,yes,No Risk
0_to_200,15,credits_paid_to_date,car_used,1993,less_100,less_1,2,male,none,3,savings_insurance,23,none,own,1,skilled,1,none,yes,No Risk
no_checking,32,prior_payments_delayed,car_used,5930,500_to_1000,less_1,2,male,none,4,car_other,41,none,own,1,management_self-employed,1,yes,yes,No Risk
greater_200,36,prior_payments_delayed,appliances,7673,100_to_500,4_to_7,4,male,none,4,car_other,38,none,own,2,skilled,1,yes,yes,No Risk
less_0,8,all_credits_paid_back,car_new,3350,less_100,less_1,1,female,none,1,car_other,32,none,own,2,skilled,1,yes,yes,No Risk
no_checking,8,prior_payments_delayed,furniture,5504,less_100,1_to_4,4,female,none,4,savings_insurance,35,none,own,1,management_self-employed,1,none,yes,No Risk
no_checking,24,prior_payments_delayed,furniture,4416,unknown,4_to_7,4,male,none,3,savings_insurance,47,none,own,2,skilled,1,none,yes,No Risk
0_to_200,34,outstanding_credit,appliances,3399,500_to_1000,4_to_7,4,male,none,3,savings_insurance,27,none,own,1,skilled,1,yes,yes,No Risk
less_0,20,credits_paid_to_date,furniture,1329,less_100,1_to_4,3,male,none,3,real_estate,20,none,own,1,skilled,1,none,yes,No Risk
no_checking,40,prior_payments_delayed,radio_tv,7030,unknown,greater_7,4,male,co-applicant,4,car_other,45,none,own,2,skilled,2,yes,yes,Risk
no_checking,47,prior_payments_delayed,radio_tv,9286,unknown,greater_7,4,male,co-applicant,4,unknown,52,none,free,2,skilled,2,yes,yes,Risk
0_to_200,31,outstanding_credit,furniture,5702,100_to_500,greater_7,3,female,none,4,unknown,47,none,own,2,skilled,1,yes,yes,Risk
less_0,20,prior_payments_delayed,radio_tv,1475,less_100,1_to_4,3,male,none,3,car_other,29,bank,rent,1,unskilled,1,none,yes,No Risk
less_0,14,all_credits_paid_back,furniture,250,less_100,less_1,2,male,none,1,real_estate,30,none,own,2,skilled,1,none,yes,No Risk
